ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
801170.SI,20260707,1997.458,2035.921,2036.02,1993.8,2039.242,-41.784,-2.049,31736265.16,21654122.287
801170.SI,20260706,2039.242,2019.423,2042.57,2015.45,2010.106,29.136,1.4495,34480808.11,25956273.243
801170.SI,20260703,2010.106,2004.559,2026.774,2000.086,1992.194,17.912,0.8991,34912959.64,24553127.661
801170.SI,20260702,1992.194,1992.354,2018.56,1987.24,1985.92,6.274,0.3159,37022570.61,27119035.68
801170.SI,20260701,1985.92,1956.571,1999.88,1951.07,1947.174,38.746,1.9899,39787660.29,27373205.66
801170.SI,20260630,1947.174,1971.692,1972.33,1937.03,1979.86,-32.686,-1.6509,34396266.76,23417303.45
801170.SI,20260629,1979.86,1977.796,1984.6,1937.93,1990.256,-10.396,-0.5223,35975291.96,24787043.211
801170.SI,20260626,1990.256,2024.532,2025.164,1989.578,2043.876,-53.62,-2.6234,36508398.55,25877062.122
801170.SI,20260625,2043.876,2039.734,2064.19,2028.78,2043.84,0.036,0.0018,44770231.84,32825180.417
801170.SI,20260624,2043.84,2055.282,2076.74,2040.82,2048.649,-4.809,-0.2347,37564690.17,24944281.174
801170.SI,20260623,2048.649,2044.807,2078.88,2043.78,2043.596,5.053,0.2473,38766780.71,26984449.657
801170.SI,20260622,2043.596,2014.582,2044.24,1988.65,2023.03,20.566,1.0166,40847125.27,28333884.061
801170.SI,20260618,2023.03,2054.293,2055.036,2015.789,2061.054,-38.024,-1.8449,36513060.42,25652884.515
801170.SI,20260617,2061.054,2060.96,2063.96,2055.18,2056.17,4.884,0.2375,38368872.22,25738249.062
801170.SI,20260616,2056.17,2098.641,2098.641,2050.01,2097.835,-41.665,-1.9861,44045494.76,31037653.875
801170.SI,20260615,2097.835,2113.603,2128.71,2090.82,2072.257,25.578,1.2343,46234024.7,28167342.147
801170.SI,20260612,2072.257,2041.332,2075.32,2038.97,2026.029,46.228,2.2817,55968280.67,31824990.362
801170.SI,20260611,2026.029,2042.299,2043.48,2019.02,2052.717,-26.688,-1.3001,32533735.29,19604496.764
801170.SI,20260610,2052.717,2042.815,2053.39,2037.2,2050.907,1.81,0.0883,32185790.03,20540867.736
801170.SI,20260609,2050.907,2047.552,2051.24,2034.21,2044.233,6.674,0.3265,32312998.46,20324992.842
801170.SI,20260608,2044.233,2071.695,2081.61,2029.56,2094.194,-49.961,-2.3857,42818499.16,25619996.936
801170.SI,20260605,2094.194,2089.931,2108.76,2088.23,2083.641,10.553,0.5065,36867757.4,23557474.724
801170.SI,20260604,2083.641,2106.048,2113.89,2075.97,2109.381,-25.74,-1.2203,33999673.0,22608965.129
801170.SI,20260603,2109.381,2139.808,2139.84,2105.7,2144.532,-35.151,-1.6391,40774864.01,26947155.004
801170.SI,20260602,2144.532,2161.196,2161.196,2135.93,2164.618,-20.086,-0.9279,40271351.06,26168575.204
801170.SI,20260601,2164.618,2145.801,2166.31,2130.23,2147.504,17.114,0.7969,45581855.29,28889729.728
801170.SI,20260529,2147.504,2138.84,2164.89,2138.84,2137.103,10.401,0.4867,44330034.2,28555951.691
801170.SI,20260528,2137.103,2150.35,2158.69,2125.31,2152.074,-14.971,-0.6957,34144461.15,22606957.529
801170.SI,20260527,2152.074,2180.2,2183.388,2143.166,2190.264,-38.19,-1.7436,37620905.47,25915734.115
801170.SI,20260526,2190.264,2191.48,2203.19,2174.98,2200.627,-10.363,-0.4709,41888385.78,29146241.173
801170.SI,20260525,2200.627,2206.923,2218.49,2192.3,2188.353,12.274,0.5609,45085884.04,32505890.797
801170.SI,20260522,2188.353,2203.386,2203.39,2176.59,2192.214,-3.861,-0.1761,35783550.44,24572780.389
801170.SI,20260521,2192.214,2205.248,2233.19,2191.25,2197.597,-5.383,-0.2449,47534656.85,32919653.689
801170.SI,20260520,2197.597,2189.606,2199.98,2180.19,2196.748,0.849,0.0386,33681555.81,24398059.364
801170.SI,20260519,2196.748,2176.33,2197.89,2176.33,2175.41,21.338,0.9809,32188895.67,21958745.655
801170.SI,20260518,2175.41,2185.832,2185.832,2163.74,2196.319,-20.909,-0.952,36424058.07,24869494.705
801170.SI,20260515,2196.319,2228.916,2228.92,2187.41,2230.39,-34.071,-1.5276,44702607.22,29065875.394
801170.SI,20260514,2230.39,2246.661,2256.88,2230.39,2249.331,-18.941,-0.8421,42235406.08,30164761.961
801170.SI,20260513,2249.331,2244.294,2251.64,2236.98,2244.917,4.414,0.1966,38991122.3,26558454.085
801170.SI,20260512,2244.917,2260.65,2266.76,2243.68,2257.612,-12.695,-0.5623,42206008.37,28613813.991
801170.SI,20260511,2257.612,2269.569,2269.569,2243.05,2278.228,-20.616,-0.9049,45613098.13,33914472.887
801170.SI,20260508,2278.228,2240.284,2282.72,2240.28,2249.787,28.441,1.2642,56933545.4,36142759.056
801170.SI,20260507,2249.787,2245.158,2263.3,2240.47,2236.67,13.117,0.5865,44113770.41,32901949.382
801170.SI,20260506,2236.67,2225.981,2237.33,2210.71,2217.733,18.937,0.8539,44470928.19,32154371.525
801170.SI,20260430,2217.733,2221.302,2228.52,2208.88,2225.44,-7.707,-0.3463,49019142.04,28828820.41
801170.SI,20260429,2225.44,2212.521,2228.05,2212.52,2210.093,15.347,0.6944,34749742.55,24930088.407
801170.SI,20260428,2210.093,2207.926,2217.6,2198.24,2210.436,-0.343,-0.0155,33149361.46,24396507.287
801170.SI,20260427,2210.436,2217.392,2220.23,2205.4,2216.102,-5.666,-0.2557,29876552.52,22269819.173
801170.SI,20260424,2216.102,2224.119,2226.27,2208.22,2229.967,-13.865,-0.6218,27238569.65,20453197.397
801170.SI,20260423,2229.967,2236.405,2237.55,2220.56,2243.774,-13.807,-0.6153,32365033.86,23084745.752
801170.SI,20260422,2243.774,2251.569,2253.11,2239.64,2258.695,-14.921,-0.6606,26182129.34,21706861.199
801170.SI,20260421,2258.695,2243.037,2261.44,2243.037,2246.829,11.866,0.5281,30729408.99,22405068.293
801170.SI,20260420,2246.829,2233.77,2247.27,2231.3,2235.741,11.088,0.4959,34050136.04,24295184.686
801170.SI,20260417,2235.741,2243.168,2243.177,2226.14,2248.838,-13.097,-0.5824,30156408.2,23118374.938
801170.SI,20260416,2248.838,2250.829,2255.582,2242.013,2245.859,2.979,0.1326,29837983.76,23065477.837
801170.SI,20260415,2245.859,2249.331,2259.71,2244.01,2232.932,12.927,0.5789,31947692.98,23573621.912
801170.SI,20260414,2232.932,2234.368,2236.61,2212.5,2227.137,5.795,0.2602,31160299.96,23494998.957
801170.SI,20260413,2227.137,2243.041,2243.041,2217.63,2254.39,-27.253,-1.2089,33840470.68,24612062.715
801170.SI,20260410,2254.39,2275.071,2275.071,2253.55,2263.269,-8.879,-0.3923,36609320.03,27158080.323
801170.SI,20260409,2263.269,2285.05,2287.232,2260.423,2298.526,-35.257,-1.5339,36400977.85,25912130.586
801170.SI,20260408,2298.526,2272.794,2298.53,2272.763,2248.758,49.768,2.2131,49251463.11,36111434.751
801170.SI,20260407,2248.758,2252.438,2255.63,2237.52,2246.037,2.721,0.1211,34955874.78,24593777.086
801170.SI,20260403,2246.037,2278.979,2278.98,2243.43,2273.28,-27.243,-1.1984,39290144.48,27814968.838
801170.SI,20260402,2273.28,2262.64,2286.11,2260.51,2270.888,2.392,0.1053,41725691.13,32294946.324
801170.SI,20260401,2270.888,2261.449,2271.64,2261.449,2234.056,36.832,1.6487,41352353.17,29475102.724
801170.SI,20260331,2234.056,2256.617,2276.3,2234.056,2249.647,-15.591,-0.693,37339444.79,27234370.072
801170.SI,20260330,2249.647,2228.373,2253.86,2220.12,2250.453,-0.806,-0.0358,36589725.34,25318309.236
801170.SI,20260327,2250.453,2231.21,2256.39,2231.21,2246.153,4.3,0.1914,37878639.07,26015786.474
801170.SI,20260326,2246.153,2250.639,2267.11,2243.1,2253.849,-7.696,-0.3415,44915339.86,30908620.066
801170.SI,20260325,2253.849,2234.13,2254.69,2223.91,2219.888,33.961,1.5299,50814553.86,35732561.092
801170.SI,20260324,2219.888,2189.072,2219.888,2176.74,2159.47,60.418,2.7978,46310073.78,33406151.065
801170.SI,20260323,2159.47,2233.042,2233.042,2150.29,2252.86,-93.39,-4.1454,59584310.05,39487269.999
801170.SI,20260320,2252.86,2278.759,2289.59,2251.55,2276.53,-23.67,-1.0397,40841667.06,29981572.064
801170.SI,20260319,2276.53,2306.39,2306.39,2271.29,2322.36,-45.83,-1.9734,45213873.5,31639416.565
801170.SI,20260318,2322.36,2320.11,2330.18,2303.48,2317.367,4.993,0.2155,43586123.39,31725802.384
801170.SI,20260317,2317.367,2332.102,2351.49,2316.78,2331.229,-13.862,-0.5946,46434197.93,31788277.274
801170.SI,20260316,2331.229,2311.626,2331.23,2308.66,2314.142,17.087,0.7384,48891002.83,34865621.72
801170.SI,20260313,2314.142,2311.131,2334.58,2309.21,2319.493,-5.351,-0.2307,45393477.12,31796228.353
801170.SI,20260312,2319.493,2309.954,2323.02,2304.42,2315.736,3.757,0.1622,49468514.84,32971916.79
801170.SI,20260311,2315.736,2309.263,2316.95,2288.9,2309.37,6.366,0.2757,44967782.67,32580249.713
801170.SI,20260310,2309.37,2295.72,2324.99,2295.72,2287.602,21.768,0.9516,47366441.03,37974179.513
801170.SI,20260309,2287.602,2329.84,2329.84,2278.05,2342.453,-54.851,-2.3416,64499934.08,48341493.339
801170.SI,20260306,2342.453,2307.146,2343.29,2304.73,2320.859,21.594,0.9304,51930399.51,38618202.934
801170.SI,20260305,2320.859,2327.18,2338.57,2308.66,2322.038,-1.179,-0.0508,60852546.38,45750067.829
801170.SI,20260304,2322.038,2366.966,2366.966,2310.63,2391.377,-69.339,-2.8995,82808796.63,61044402.998
801170.SI,20260303,2391.377,2378.034,2412.72,2373.05,2364.537,26.84,1.1351,92543133.68,69054152.766
801170.SI,20260302,2364.537,2363.094,2368.2,2329.62,2365.196,-0.659,-0.0279,77137012.85,58469479.467
801170.SI,20260227,2365.196,2348.3,2367.14,2348.3,2344.686,20.51,0.8747,43061741.39,31763716.166
801170.SI,20260226,2344.686,2335.797,2352.19,2330.47,2335.183,9.503,0.4069,42607588.13,31783364.54
801170.SI,20260225,2335.183,2315.485,2358.95,2315.485,2308.501,26.682,1.1558,55645354.9,37324066.606
801170.SI,20260224,2308.501,2310.09,2314.06,2305.07,2282.235,26.266,1.1509,35072429.24,26000093.221
801170.SI,20260213,2282.235,2322.427,2322.43,2280.7,2322.557,-40.322,-1.7361,34047924.84,22959002.724
801170.SI,20260212,2322.557,2336.228,2341.5,2321.78,2331.789,-9.232,-0.3959,33343088.96,22986669.981
801170.SI,20260211,2331.789,2337.006,2341.56,2325.18,2336.609,-4.82,-0.2063,31200950.98,21517963.322
801170.SI,20260210,2336.609,2339.798,2339.8,2320.66,2340.561,-3.952,-0.1688,30149235.25,21188684.25
801170.SI,20260209,2340.561,2325.808,2341.14,2324.24,2314.882,25.679,1.1093,34379050.39,23215808.482
801170.SI,20260206,2314.882,2320.618,2326.94,2307.36,2332.315,-17.433,-0.7475,33472889.49,23502441.209
801170.SI,20260205,2332.315,2324.531,2343.09,2323.06,2327.413,4.902,0.2106,42144693.04,29773160.593
801170.SI,20260204,2327.413,2263.214,2328.5,2263.21,2263.618,63.795,2.8183,54195202.25,34505333.828
