trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy,side,reason
20260609,000010.SZ,华林证券股份有限公司淮安淮海东路证券营业部,7279942.0,3.22,0.0,0.0,7279942.0,0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20260609,000010.SZ,中信建投证券股份有限公司上海营口路证券营业部,5773769.0,2.55,7992239.0,3.53,-2218470.0,0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20260609,000010.SZ,东方财富证券股份有限公司拉萨团结路第二证券营业部,3961655.0,1.75,5657058.0,2.5,-1695403.0,0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20260609,000010.SZ,机构专用,3872027.0,1.71,3789678.41,1.67,82348.59,0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20260609,000010.SZ,东兴证券股份有限公司惠安建设南路证券营业部,3846597.0,1.7,2564895.0,1.13,1281702.0,0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20260609,000010.SZ,中信建投证券股份有限公司上海营口路证券营业部,5773769.0,2.55,7992239.0,3.53,-2218470.0,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20260609,000010.SZ,东方财富证券股份有限公司拉萨团结路第二证券营业部,3961655.0,1.75,5657058.0,2.5,-1695403.0,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20260609,000010.SZ,机构专用,3872027.0,1.71,3789678.41,1.67,82348.59,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20260609,000010.SZ,联储证券股份有限公司陕西分公司,1558773.0,0.69,3155917.0,1.39,-1597144.0,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20260609,000010.SZ,东方财富证券股份有限公司昌都两江大道证券营业部,1203232.0,0.53,3051296.0,1.35,-1848064.0,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20260609,000411.SZ,华泰证券股份有限公司张家港金港镇长江中路证券营业部,9224298.0,4.03,1054559.75,0.46,8169738.25,0,日跌幅偏离值达到7%的前5只证券
20260609,000411.SZ,深股通专用,6943506.0,3.04,7807955.68,3.41,-864449.68,0,日跌幅偏离值达到7%的前5只证券
20260609,000411.SZ,东方证券股份有限公司上海浦东新区北门大街证券营业部,4302685.0,1.88,1003721.0,0.44,3298964.0,0,日跌幅偏离值达到7%的前5只证券
20260609,000411.SZ,华泰证券股份有限公司张家港杨舍东街证券营业部,4249263.98,1.86,1211238.0,0.53,3038025.98,0,日跌幅偏离值达到7%的前5只证券
20260609,000411.SZ,中信证券股份有限公司上海浦东新区东方路证券营业部,3717004.0,1.62,164424.0,0.07,3552580.0,0,日跌幅偏离值达到7%的前5只证券
20260609,000411.SZ,山西证券股份有限公司晋城黄华街证券营业部,0.0,0.0,24668465.2,10.78,-24668465.2,1,日跌幅偏离值达到7%的前5只证券
20260609,000411.SZ,中国银河证券股份有限公司北京安贞门证券营业部,246299.0,0.11,10571350.0,4.62,-10325051.0,1,日跌幅偏离值达到7%的前5只证券
20260609,000411.SZ,兴业证券股份有限公司北京曙光西里证券营业部,26685.0,0.01,9891344.0,4.32,-9864659.0,1,日跌幅偏离值达到7%的前5只证券
20260609,000411.SZ,深股通专用,6943506.0,3.04,7807955.68,3.41,-864449.68,1,日跌幅偏离值达到7%的前5只证券
20260609,000411.SZ,渤海证券股份有限公司湖南分公司,0.0,0.0,5275796.0,2.31,-5275796.0,1,日跌幅偏离值达到7%的前5只证券
20260609,000517.SZ,深股通专用,5441748.0,1.94,9764910.24,3.48,-4323162.24,0,日跌幅偏离值达到7%的前5只证券
20260609,000517.SZ,深股通专用,5441748.0,1.94,9764910.24,3.48,-4323162.24,0,日振幅值达到15%的前5只证券
20260609,000517.SZ,国泰海通证券股份有限公司深圳雅宝路证券营业部,4675993.0,1.66,110147.0,0.04,4565846.0,0,日跌幅偏离值达到7%的前5只证券
20260609,000517.SZ,国泰海通证券股份有限公司深圳雅宝路证券营业部,4675993.0,1.66,110147.0,0.04,4565846.0,0,日振幅值达到15%的前5只证券
20260609,000517.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,3447128.0,1.23,1509865.0,0.54,1937263.0,0,日跌幅偏离值达到7%的前5只证券
20260609,000517.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,3447128.0,1.23,1509865.0,0.54,1937263.0,0,日振幅值达到15%的前5只证券
20260609,000517.SZ,国金证券股份有限公司深圳分公司,2851526.0,1.02,633085.0,0.23,2218441.0,0,日跌幅偏离值达到7%的前5只证券
20260609,000517.SZ,国金证券股份有限公司深圳分公司,2851526.0,1.02,633085.0,0.23,2218441.0,0,日振幅值达到15%的前5只证券
20260609,000517.SZ,东方财富证券股份有限公司拉萨东环路第二证券营业部,2766144.0,0.98,688837.0,0.25,2077307.0,0,日跌幅偏离值达到7%的前5只证券
20260609,000517.SZ,东方财富证券股份有限公司拉萨东环路第二证券营业部,2766144.0,0.98,688837.0,0.25,2077307.0,0,日振幅值达到15%的前5只证券
20260609,000517.SZ,国新证券股份有限公司北京中关村大街证券营业部,0.0,0.0,15216300.0,5.42,-15216300.0,1,日跌幅偏离值达到7%的前5只证券
20260609,000517.SZ,国新证券股份有限公司北京中关村大街证券营业部,0.0,0.0,15216300.0,5.42,-15216300.0,1,日振幅值达到15%的前5只证券
20260609,000517.SZ,深股通专用,5441748.0,1.94,9764910.24,3.48,-4323162.24,1,日跌幅偏离值达到7%的前5只证券
20260609,000517.SZ,深股通专用,5441748.0,1.94,9764910.24,3.48,-4323162.24,1,日振幅值达到15%的前5只证券
20260609,000517.SZ,国新证券股份有限公司北京分公司,0.0,0.0,6970491.0,2.48,-6970491.0,1,日跌幅偏离值达到7%的前5只证券
20260609,000517.SZ,国新证券股份有限公司北京分公司,0.0,0.0,6970491.0,2.48,-6970491.0,1,日振幅值达到15%的前5只证券
20260609,000517.SZ,中国银河证券股份有限公司太原迎泽桥西证券营业部,1321730.0,0.47,5639036.0,2.01,-4317306.0,1,日跌幅偏离值达到7%的前5只证券
20260609,000517.SZ,中国银河证券股份有限公司太原迎泽桥西证券营业部,1321730.0,0.47,5639036.0,2.01,-4317306.0,1,日振幅值达到15%的前5只证券
20260609,000517.SZ,机构专用,916208.0,0.33,3999286.0,1.42,-3083078.0,1,日跌幅偏离值达到7%的前5只证券
20260609,000517.SZ,机构专用,916208.0,0.33,3999286.0,1.42,-3083078.0,1,日振幅值达到15%的前5只证券
20260609,000636.SZ,深股通专用,411902828.66,4.42,533114373.59,5.72,-121211544.93,0,日涨幅偏离值达到7%的前5只证券
20260609,000636.SZ,国泰海通证券股份有限公司余姚舜水南路证券营业部,350363407.52,3.76,4338802.0,0.05,346024605.52,0,日涨幅偏离值达到7%的前5只证券
20260609,000636.SZ,机构专用,256011176.98,2.75,226029997.07,2.43,29981179.91,0,日涨幅偏离值达到7%的前5只证券
20260609,000636.SZ,长城证券股份有限公司深圳华为稼先路证券营业部,253729683.8,2.72,0.0,0.0,253729683.8,0,日涨幅偏离值达到7%的前5只证券
20260609,000636.SZ,国泰海通证券股份有限公司无锡湖滨路证券营业部,210539751.64,2.26,727563.0,0.01,209812188.64,0,日涨幅偏离值达到7%的前5只证券
20260609,000636.SZ,深股通专用,411902828.66,4.42,533114373.59,5.72,-121211544.93,1,日涨幅偏离值达到7%的前5只证券
20260609,000636.SZ,机构专用,185448230.97,1.99,270026808.41,2.9,-84578577.44,1,日涨幅偏离值达到7%的前5只证券
20260609,000636.SZ,机构专用,256011176.98,2.75,226029997.07,2.43,29981179.91,1,日涨幅偏离值达到7%的前5只证券
20260609,000636.SZ,机构专用,0.0,0.0,178744655.11,1.92,-178744655.11,1,日涨幅偏离值达到7%的前5只证券
20260609,000636.SZ,机构专用,93879517.01,1.01,140185273.64,1.5,-46305756.63,1,日涨幅偏离值达到7%的前5只证券
20260609,000668.SZ,机构专用,6602455.0,3.61,7433357.0,4.07,-830902.0,0,日跌幅偏离值达到7%的前5只证券
20260609,000668.SZ,国信证券股份有限公司深圳泰然九路证券营业部,6234283.0,3.41,0.0,0.0,6234283.0,0,日跌幅偏离值达到7%的前5只证券
20260609,000668.SZ,机构专用,4367967.0,2.39,4792975.0,2.62,-425008.0,0,日跌幅偏离值达到7%的前5只证券
20260609,000668.SZ,平安证券股份有限公司济南解放路证券营业部,3947554.0,2.16,1955147.0,1.07,1992407.0,0,日跌幅偏离值达到7%的前5只证券
20260609,000668.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,3421261.0,1.87,762810.0,0.42,2658451.0,0,日跌幅偏离值达到7%的前5只证券
20260609,000668.SZ,广发证券股份有限公司广州中山三路中华广场证券营业部,37810.0,0.02,16245618.0,8.89,-16207808.0,1,日跌幅偏离值达到7%的前5只证券
