date,close,open,high,low,pct_change
2020-01-02,4.91,4.79,4.92,4.76,3.3684
2020-01-03,4.93,4.91,5.07,4.9,0.4073
2020-01-06,4.98,4.86,5.03,4.81,1.0142
2020-01-07,5.02,4.99,5.11,4.96,0.8032
2020-01-08,5.06,4.96,5.23,4.95,0.7968
2020-01-09,5.01,5.08,5.12,4.98,-0.9881
2020-01-10,4.96,5.01,5.06,4.92,-0.998
2020-01-13,5.01,4.93,5.01,4.84,1.0081
2020-01-14,4.88,5.03,5.03,4.88,-2.5948
2020-01-15,4.9,4.9,4.94,4.81,0.4098
2020-01-16,4.82,4.92,4.94,4.82,-1.6327
2020-01-17,4.73,4.82,4.84,4.71,-1.8672
2020-01-20,4.84,4.76,4.87,4.63,2.3256
2020-01-21,4.77,4.82,4.87,4.76,-1.4463
2020-01-22,4.85,4.75,4.86,4.65,1.6771
2020-01-23,4.54,4.79,4.82,4.47,-6.3918
2020-02-03,4.09,4.09,4.09,4.09,-9.9119
2020-02-04,3.89,3.69,3.92,3.69,-4.89
2020-02-05,4.06,3.93,4.13,3.89,4.3702
2020-02-06,4.08,4.09,4.13,4.05,0.4926
2020-02-07,4.09,4.08,4.11,4.0,0.2451
2020-02-10,4.14,4.04,4.17,4.04,1.2225
2020-02-11,4.12,4.15,4.19,4.08,-0.4831
2020-02-12,4.32,4.14,4.47,4.11,4.8544
2020-02-13,4.53,4.36,4.67,4.13,4.8611
2020-02-14,4.98,4.44,4.98,4.44,9.9338
2020-02-17,5.48,5.48,5.48,5.25,10.0402
2020-02-18,6.03,5.95,6.03,5.81,10.0365
2020-02-19,6.63,6.63,6.63,6.21,9.9502
2020-02-20,7.29,7.0,7.29,7.0,9.9548
2020-02-21,8.02,8.02,8.02,8.02,10.0137
2020-02-24,8.2,7.51,8.35,7.24,2.2444
2020-02-25,8.44,8.2,9.02,7.75,2.9268
2020-02-26,7.6,7.6,7.6,7.6,-9.9526
2020-02-27,6.84,6.84,7.32,6.84,-10.0
2020-02-28,6.16,6.16,6.49,6.16,-9.9415
2020-03-02,6.3,6.24,6.46,5.98,2.2727
2020-03-03,6.6,6.3,6.93,6.26,4.7619
2020-03-04,6.64,6.37,6.74,6.3,0.6061
2020-03-05,6.93,6.69,7.14,6.51,4.3675
2020-03-06,6.48,6.6,6.91,6.47,-6.4935
2020-03-09,5.83,6.1,6.2,5.83,-10.0309
2020-03-10,6.09,5.7,6.14,5.61,4.4597
2020-03-11,5.84,6.03,6.26,5.84,-4.1051
2020-03-12,6.42,5.9,6.42,5.77,9.9315
2020-03-13,6.87,6.42,7.06,6.31,7.0093
2020-03-16,6.18,6.58,6.69,6.18,-10.0437
2020-03-17,5.76,5.9,6.1,5.56,-6.7961
2020-03-18,5.52,5.78,5.99,5.46,-4.1667
2020-03-19,6.07,5.47,6.07,5.47,9.9638
2020-03-20,5.83,6.19,6.23,5.8,-3.9539
2020-03-23,5.45,5.79,6.09,5.32,-6.518
2020-03-24,5.59,5.65,5.7,5.25,2.5688
2020-03-25,5.76,5.73,5.86,5.57,3.0411
2020-03-26,5.55,5.65,5.82,5.52,-3.6458
2020-03-27,5.54,5.65,5.68,5.36,-0.1802
2020-03-30,4.99,5.38,5.39,4.99,-9.9278
2020-03-31,4.93,5.06,5.16,4.93,-1.2024
2020-04-01,5.0,4.98,5.14,4.93,1.4199
2020-04-02,5.3,4.96,5.33,4.92,6.0
2020-04-03,5.24,5.25,5.35,5.19,-1.1321
2020-04-07,5.32,5.36,5.4,5.25,1.5267
2020-04-08,5.56,5.26,5.56,5.22,4.5113
2020-04-09,5.39,5.5,5.57,5.35,-3.0576
2020-04-10,5.08,5.23,5.3,4.98,-5.7514
2020-04-13,4.92,5.11,5.11,4.86,-3.1496
2020-04-14,5.03,4.97,5.04,4.93,2.2358
2020-04-15,4.91,5.01,5.09,4.89,-2.3857
2020-04-16,4.97,4.84,5.05,4.82,1.222
2020-04-17,4.93,5.01,5.12,4.91,-0.8048
2020-04-20,4.93,4.94,4.94,4.85,0.0
2020-04-21,4.94,4.91,4.96,4.81,0.2028
2020-04-22,4.99,4.88,5.01,4.86,1.0121
2020-04-23,4.95,4.99,5.03,4.91,-0.8016
2020-04-24,4.68,4.92,4.99,4.61,-5.4545
2020-04-27,4.52,4.68,4.7,4.5,-3.4188
2020-04-28,4.35,4.53,4.55,4.15,-3.7611
2020-04-29,4.39,4.38,4.52,4.32,0.9195
2020-04-30,4.56,4.4,4.61,4.4,3.8724
2020-05-06,4.71,4.54,4.74,4.51,3.2895
2020-05-07,4.49,4.8,4.81,4.46,-4.6709
2020-05-08,4.94,4.54,4.94,4.5,10.0223
2020-05-11,5.43,5.23,5.43,5.23,9.919
2020-05-12,5.31,5.31,5.4,5.01,-2.2099
2020-05-13,5.29,5.19,5.42,5.04,-0.3766
2020-05-14,5.07,5.15,5.26,5.06,-4.1588
2020-05-15,5.14,5.09,5.35,5.04,1.3807
2020-05-18,5.1,5.18,5.33,5.1,-0.7782
2020-05-19,5.37,5.16,5.5,5.08,5.2941
2020-05-20,5.18,5.28,5.33,5.13,-3.5382
2020-05-21,4.81,5.22,5.25,4.77,-7.1429
2020-05-22,4.64,4.77,4.94,4.64,-3.5343
2020-05-25,4.54,4.6,4.74,4.48,-2.1552
2020-05-26,4.72,4.51,4.75,4.51,3.9648
2020-05-27,4.68,4.73,4.77,4.62,-0.8475
2020-05-28,4.6,4.65,4.69,4.5,-1.7094
2020-05-29,4.67,4.6,4.8,4.56,1.5217
2020-06-01,4.87,4.66,4.92,4.66,4.2827
2020-06-02,5.0,4.86,5.09,4.85,2.6694
2020-06-03,5.01,5.01,5.19,4.95,0.2
2020-06-04,4.96,5.06,5.13,4.92,-0.998
2020-06-05,4.96,4.91,5.06,4.91,0.0
2020-06-08,4.92,5.02,5.1,4.89,-0.8065
2020-06-09,4.85,4.92,4.99,4.83,-1.4228
2020-06-10,4.7,4.83,4.88,4.68,-3.0928
2020-06-11,4.68,4.72,4.83,4.65,-0.4255
2020-06-12,4.64,4.55,4.69,4.52,-0.8547
2020-06-15,4.55,4.63,4.72,4.53,-1.9397
2020-06-16,4.65,4.58,4.66,4.58,2.1978
2020-06-17,4.65,4.7,4.74,4.56,0.0
2020-06-18,4.67,4.63,4.69,4.6,0.4301
2020-06-19,4.65,4.64,4.68,4.59,-0.4283
2020-06-22,4.71,4.63,4.75,4.63,1.2903
2020-06-23,4.64,4.71,4.71,4.6,-1.4862
2020-06-24,4.55,4.65,4.67,4.54,-1.9397
2020-06-29,4.44,4.53,4.57,4.43,-2.4176
2020-06-30,4.5,4.46,4.55,4.46,1.3514
2020-07-01,4.55,4.53,4.62,4.49,1.1111
2020-07-02,4.67,4.51,4.73,4.48,2.6374
2020-07-03,4.75,4.69,4.76,4.63,1.7131
2020-07-06,5.02,4.79,5.04,4.76,5.6842
2020-07-07,5.07,5.05,5.29,5.03,0.996
2020-07-08,5.2,5.09,5.23,5.02,2.5641
2020-07-09,5.36,5.18,5.43,5.15,3.0769
2020-07-10,5.37,5.32,5.62,5.24,0.1866
2020-07-13,5.6,5.38,5.6,5.3,4.2831
2020-07-14,5.48,5.7,5.75,5.26,-2.1429
2020-07-15,5.12,5.42,5.47,5.11,-6.5693
2020-07-16,4.88,5.13,5.24,4.85,-4.6875
2020-07-17,4.78,4.89,4.97,4.72,-2.0492
2020-07-20,4.99,4.8,4.99,4.78,4.3933
2020-07-21,5.49,4.97,5.49,4.94,10.02
2020-07-22,5.6,5.45,5.73,5.3,2.0036
2020-07-23,5.38,5.45,5.51,5.15,-3.9286
2020-07-24,5.03,5.33,5.48,5.02,-6.5056
2020-07-27,5.53,5.0,5.53,4.97,9.9404
2020-07-28,5.42,5.69,5.9,5.34,-1.9892
2020-07-29,5.75,5.4,5.89,5.4,6.0886
2020-07-30,5.99,5.7,6.17,5.58,4.1739
2020-07-31,6.24,5.86,6.39,5.84,4.1736
2020-08-03,6.45,6.17,6.75,6.1,3.3654
2020-08-04,5.89,6.4,6.44,5.86,-8.6822
2020-08-05,5.97,6.05,6.23,5.9,1.3582
2020-08-06,6.1,5.94,6.25,5.84,2.1776
