date,close,open,high,low,pct_change,volume
2022-05-24,41.96,46.0,48.0,41.92,83.0716,127460.47
2022-05-25,37.8,38.5,40.62,37.0,-9.9142,104128.44
2022-05-26,38.3,36.8,40.47,35.66,1.3228,104166.92
2022-05-27,34.23,37.0,38.13,34.21,-10.6266,90951.43
2022-05-30,34.59,33.2,35.05,33.2,1.0517,60271.88
2022-05-31,38.03,34.2,41.51,33.62,9.9451,111096.1
2022-06-01,37.01,36.2,38.26,35.37,-2.6821,87247.0
2022-06-02,38.27,37.81,41.0,37.03,3.4045,100897.59
2022-06-06,39.1,37.0,39.93,36.36,2.1688,83783.24
2022-06-07,36.62,39.05,41.0,36.5,-6.3427,94704.87
2022-06-08,34.96,35.0,35.94,34.2,-4.533,68416.26
2022-06-09,33.57,35.19,35.89,33.51,-3.976,45519.61
2022-06-10,34.36,33.0,34.37,32.78,2.3533,34753.07
2022-06-13,33.84,34.01,34.3,33.33,-1.5134,30450.58
2022-06-14,32.76,33.39,33.8,31.58,-3.1915,39728.55
2022-06-15,32.97,32.89,33.66,32.88,0.641,35111.77
2022-06-16,32.79,32.53,33.45,32.52,-0.546,28120.51
2022-06-17,32.06,32.53,32.95,31.59,-2.2263,28534.56
2022-06-20,32.66,31.9,32.74,31.9,1.8715,24873.0
2022-06-21,33.97,32.95,34.12,32.78,4.011,51045.57
2022-06-22,32.35,33.32,33.55,32.17,-4.7689,34102.42
2022-06-23,33.67,32.35,34.01,32.0,4.0804,38838.67
2022-06-24,33.4,33.34,34.06,33.33,-0.8019,34423.38
2022-06-27,33.66,33.64,33.93,33.03,0.7784,27035.57
2022-06-28,34.13,33.66,34.22,33.1,1.3963,32998.98
2022-06-29,32.39,33.99,34.11,32.37,-5.0982,36192.14
2022-06-30,32.6,32.32,32.68,32.08,0.6483,18842.36
2022-07-01,32.46,32.44,32.85,32.08,-0.4294,17328.0
2022-07-04,33.18,32.45,33.59,31.7,2.2181,32051.18
2022-07-05,32.31,32.96,33.01,32.0,-2.6221,21919.99
