trade_date,ts_code,con_code,name
20250715,BK0145.DC,300074.SZ,华平股份
20250715,BK0145.DC,600824.SH,益民集团
20250715,BK0145.DC,300890.SZ,翔丰华
20250715,BK0145.DC,873693.BJ,阿为特
20250715,BK0145.DC,000863.SZ,三湘印象
20250715,BK0145.DC,600315.SH,上海家化
20250715,BK0145.DC,688648.SH,中邮科技
20250715,BK0145.DC,002565.SZ,顺灏股份
20250715,BK0145.DC,688099.SH,晶晨股份
20250715,BK0145.DC,603496.SH,恒为科技
20250715,BK0145.DC,600278.SH,东方创业
20250715,BK0145.DC,300462.SZ,ST华铭
20250715,BK0145.DC,688085.SH,三友医疗
20250715,BK0145.DC,688188.SH,柏楚电子
20250715,BK0145.DC,300642.SZ,透景生命
20250715,BK0145.DC,300257.SZ,开山股份
20250715,BK0145.DC,603083.SH,剑桥科技
20250715,BK0145.DC,300590.SZ,移为通信
20250715,BK0145.DC,603499.SH,翔港科技
20250715,BK0145.DC,688180.SH,君实生物-U
20250715,BK0145.DC,603325.SH,博隆技术
20250715,BK0145.DC,600420.SH,国药现代
20250715,BK0145.DC,688484.SH,南芯科技
20250715,BK0145.DC,002184.SZ,海得控制
20250715,BK0145.DC,605128.SH,上海沿浦
20250715,BK0145.DC,600850.SH,电科数字
20250715,BK0145.DC,600638.SH,新黄浦
20250715,BK0145.DC,300129.SZ,泰胜风能
20250715,BK0145.DC,002178.SZ,延华智能
20250715,BK0145.DC,600649.SH,城投控股
20250715,BK0145.DC,002706.SZ,良信股份
20250715,BK0145.DC,301419.SZ,阿莱德
20250715,BK0145.DC,688507.SH,索辰科技
20250715,BK0145.DC,300493.SZ,润欣科技
20250715,BK0145.DC,600838.SH,上海九百
20250715,BK0145.DC,688238.SH,和元生物
20250715,BK0145.DC,603887.SH,城地香江
20250715,BK0145.DC,600958.SH,东方证券
20250715,BK0145.DC,605050.SH,福然德
20250715,BK0145.DC,300508.SZ,维宏股份
20250715,BK0145.DC,603236.SH,移远通信
20250715,BK0145.DC,300067.SZ,安诺其
20250715,BK0145.DC,603121.SH,华培动力
20250715,BK0145.DC,688073.SH,毕得医药
20250715,BK0145.DC,600150.SH,中国船舶
20250715,BK0145.DC,601231.SH,环旭电子
20250715,BK0145.DC,300008.SZ,天海防务
20250715,BK0145.DC,002454.SZ,松芝股份
20250715,BK0145.DC,603009.SH,北特科技
20250715,BK0145.DC,603868.SH,飞科电器
20250715,BK0145.DC,600732.SH,爱旭股份
20250715,BK0145.DC,603159.SH,上海亚虹
20250715,BK0145.DC,301151.SZ,冠龙节能
20250715,BK0145.DC,601595.SH,上海电影
20250715,BK0145.DC,600601.SH,方正科技
20250715,BK0145.DC,688012.SH,中微公司
20250715,BK0145.DC,688592.SH,司南导航
20250715,BK0145.DC,600754.SH,锦江酒店
20250715,BK0145.DC,603350.SH,安乃达
20250715,BK0145.DC,600827.SH,百联股份
20250715,BK0145.DC,605098.SH,行动教育
20250715,BK0145.DC,600606.SH,绿地控股
20250715,BK0145.DC,300983.SZ,尤安设计
20250715,BK0145.DC,601156.SH,东航物流
20250715,BK0145.DC,603006.SH,联明股份
20250715,BK0145.DC,600882.SH,妙可蓝多
20250715,BK0145.DC,601200.SH,上海环境
20250715,BK0145.DC,002278.SZ,神开股份
20250715,BK0145.DC,601607.SH,上海医药
20250715,BK0145.DC,600639.SH,浦东金桥
20250715,BK0145.DC,603501.SH,豪威集团
20250715,BK0145.DC,600623.SH,XD华谊集
20250715,BK0145.DC,600895.SH,张江高科
20250715,BK0145.DC,600210.SH,紫江企业
20250715,BK0145.DC,688798.SH,艾为电子
20250715,BK0145.DC,600081.SH,东风科技
20250715,BK0145.DC,688585.SH,上纬新材
20250715,BK0145.DC,300378.SZ,鼎捷数智
20250715,BK0145.DC,688091.SH,上海谊众
20250715,BK0145.DC,600826.SH,兰生股份
20250715,BK0145.DC,600822.SH,上海物贸
20250715,BK0145.DC,603039.SH,泛微网络
20250715,BK0145.DC,600604.SH,市北高新
20250715,BK0145.DC,300170.SZ,汉得信息
20250715,BK0145.DC,688317.SH,之江生物
20250715,BK0145.DC,603296.SH,华勤技术
20250715,BK0145.DC,688382.SH,益方生物-U
20250715,BK0145.DC,002028.SZ,思源电气
20250715,BK0145.DC,688590.SH,新致软件
20250715,BK0145.DC,688615.SH,合合信息
20250715,BK0145.DC,300153.SZ,科泰电源
20250715,BK0145.DC,301273.SZ,瑞晨环保
20250715,BK0145.DC,603918.SH,金桥信息
20250715,BK0145.DC,688265.SH,南模生物
20250715,BK0145.DC,603196.SH,日播时尚
20250715,BK0145.DC,600602.SH,云赛智联
20250715,BK0145.DC,601083.SH,锦江航运
20250715,BK0145.DC,603881.SH,数据港
20250715,BK0145.DC,300253.SZ,卫宁健康
20250715,BK0145.DC,688110.SH,东芯股份
20250715,BK0145.DC,688158.SH,优刻得-W
20250715,BK0145.DC,688016.SH,心脉医疗
20250715,BK0145.DC,300226.SZ,上海钢联
20250715,BK0145.DC,603275.SH,众辰科技
20250715,BK0145.DC,600841.SH,动力新科
20250715,BK0145.DC,688031.SH,星环科技-U
20250715,BK0145.DC,688018.SH,乐鑫科技
20250715,BK0145.DC,603108.SH,润达医疗
20250715,BK0145.DC,688435.SH,英方软件
20250715,BK0145.DC,688008.SH,澜起科技
20250715,BK0145.DC,300225.SZ,*ST金泰
20250715,BK0145.DC,002401.SZ,中远海科
20250715,BK0145.DC,300578.SZ,会畅通讯
20250715,BK0145.DC,300017.SZ,网宿科技
20250715,BK0145.DC,603200.SH,上海洗霸
20250715,BK0145.DC,600845.SH,宝信软件
20250715,BK0145.DC,600104.SH,上汽集团
20250715,BK0145.DC,688118.SH,普元信息
20250715,BK0145.DC,301525.SZ,儒竞科技
20250715,BK0145.DC,603153.SH,上海建科
20250715,BK0145.DC,600641.SH,万业企业
20250715,BK0145.DC,603515.SH,欧普照明
20250715,BK0145.DC,301315.SZ,威士顿
20250715,BK0145.DC,002195.SZ,岩山科技
20250715,BK0145.DC,688301.SH,奕瑞科技
20250715,BK0145.DC,002324.SZ,普利特
20250715,BK0145.DC,688351.SH,微电生理
20250715,BK0145.DC,603690.SH,XD至纯科
20250715,BK0145.DC,600648.SH,外高桥
20250715,BK0145.DC,603565.SH,中谷物流
20250715,BK0145.DC,300286.SZ,安科瑞
20250715,BK0145.DC,300999.SZ,金龙鱼
20250715,BK0145.DC,301289.SZ,国缆检测
20250715,BK0145.DC,300327.SZ,中颖电子
20250715,BK0145.DC,002825.SZ,纳尔股份
20250715,BK0145.DC,300609.SZ,汇纳科技
20250715,BK0145.DC,601229.SH,上海银行
20250715,BK0145.DC,600630.SH,龙头股份
20250715,BK0145.DC,600517.SH,国网英大
20250715,BK0145.DC,301001.SZ,凯淳股份
20250715,BK0145.DC,600650.SH,锦江在线
20250715,BK0145.DC,301046.SZ,能辉科技
20250715,BK0145.DC,603579.SH,荣泰健康
20250715,BK0145.DC,600621.SH,华鑫股份
20250715,BK0145.DC,600662.SH,外服控股
20250715,BK0145.DC,601727.SH,上海电气
20250715,BK0145.DC,300222.SZ,科大智能
20250715,BK0145.DC,300171.SZ,东富龙
20250715,BK0145.DC,301499.SZ,维科精密
20250715,BK0145.DC,603062.SH,麦加芯彩
20250715,BK0145.DC,603987.SH,康德莱
